query_name,timeout,run_id,cpus,nb_results,nb_quantum,next_size(kb),execution_time(sec)
query_148,60000,run_2,4-cpus,3447320,5,6.73828125 kb,272.19094681739807 sec
query_148,60000000,run_2,4-cpus,3447320,5,7.01953125 kb,273.51359367370605 sec
query_148,60000,run_3,4-cpus,3447320,5,6.203125 kb,270.75331020355225 sec
query_148,60000000,run_3,4-cpus,3447320,5,6.6953125 kb,273.1946074962616 sec
query_679,60000,run_1,4-cpus,259,5,2.734375 kb,245.8939027786255 sec
query_679,60000000,run_1,4-cpus,259,5,2.73046875 kb,245.76141333580017 sec
query_679,60000,run_2,4-cpus,259,5,2.73046875 kb,248.95499205589294 sec
query_679,60000000,run_2,4-cpus,259,5,2.73046875 kb,249.37216758728027 sec
query_679,60000,run_3,4-cpus,259,5,2.734375 kb,246.40043830871582 sec
query_679,60000000,run_3,4-cpus,259,5,2.7265625 kb,243.0010826587677 sec
query_513,60000,run_1,4-cpus,4085083,3,1.494140625 kb,143.71639704704285 sec
query_513,60000000,run_1,4-cpus,4085083,3,1.498046875 kb,142.10105228424072 sec
query_513,60000,run_2,4-cpus,4085083,3,1.498046875 kb,141.81817269325256 sec
query_513,60000000,run_2,4-cpus,4085083,3,1.498046875 kb,143.62418508529663 sec
query_513,60000,run_3,4-cpus,4085083,3,1.498046875 kb,142.00064373016357 sec
query_513,60000000,run_3,4-cpus,4085083,3,1.494140625 kb,143.89345526695251 sec
query_347,60000,run_1,4-cpus,1,6,8.0126953125 kb,353.0271098613739 sec
query_347,60000000,run_1,4-cpus,1,6,8.0283203125 kb,349.7776427268982 sec
query_347,60000,run_2,4-cpus,1,6,8.0244140625 kb,347.5380845069885 sec
query_347,60000000,run_2,4-cpus,1,6,8.0166015625 kb,352.4239192008972 sec
query_347,60000,run_3,4-cpus,1,6,8.0166015625 kb,349.66839480400085 sec
query_347,60000000,run_3,4-cpus,1,6,8.0166015625 kb,349.4399502277374 sec
query_360,60000,run_1,4-cpus,10,6,10.5986328125 kb,355.694687128067 sec
query_360,60000000,run_1,4-cpus,10,6,10.5791015625 kb,353.3571140766144 sec
query_360,60000,run_2,4-cpus,10,6,10.5791015625 kb,346.4576840400696 sec
query_360,60000000,run_2,4-cpus,10,6,10.5869140625 kb,346.6298863887787 sec
query_360,60000,run_3,4-cpus,10,6,10.5712890625 kb,350.92941451072693 sec
query_360,60000000,run_3,4-cpus,10,6,10.5908203125 kb,348.4551193714142 sec
query_434,60000,run_1,4-cpus,1383893,3,3.572265625 kb,156.06551504135132 sec
query_434,60000000,run_1,4-cpus,1383893,3,3.068359375 kb,153.1013822555542 sec
query_434,60000,run_2,4-cpus,1383893,3,3.869140625 kb,154.8346905708313 sec
query_434,60000000,run_2,4-cpus,1383893,3,3.197265625 kb,155.399555683136 sec
query_434,60000,run_3,4-cpus,1383893,3,3.376953125 kb,155.92193341255188 sec
query_434,60000000,run_3,4-cpus,1383893,3,3.060546875 kb,152.99030661582947 sec
query_395,60000,run_1,4-cpus,1706454,3,1.837890625 kb,124.03717231750488 sec
query_395,60000000,run_1,4-cpus,1706454,3,2.021484375 kb,124.18065333366394 sec
query_395,60000,run_2,4-cpus,1706454,3,1.638671875 kb,124.58217573165894 sec
query_395,60000000,run_2,4-cpus,1706454,2,0.8447265625 kb,119.57818174362183 sec
query_395,60000,run_3,4-cpus,1706454,3,1.943359375 kb,124.24591612815857 sec
query_395,60000000,run_3,4-cpus,1706454,2,0.8837890625 kb,119.49817514419556 sec
