query_name,run,timeout,nb_pause_resume,execution_time,nb_results
query_631,run_2,60000,1,82027,2550797
query_631,run_3,60000,1,81204,2550797
query_631,run_1,60000000,0,81387,2550797
query_631,run_2,60000000,0,81341,2550797
query_631,run_3,60000000,0,81277,2550797
query_358,run_1,60000,2,144139,109
query_358,run_2,60000,2,136720,109
query_358,run_3,60000,2,138695,109
query_358,run_1,60000000,0,124419,109
query_358,run_2,60000000,0,124966,109
query_358,run_3,60000000,0,143290,109
query_146,run_1,60000,1,106416,5523263
query_146,run_2,60000,1,105958,5523263
query_146,run_3,60000,1,106260,5523263
query_146,run_1,60000000,0,105609,5523263
query_146,run_2,60000000,0,104625,5523263
query_146,run_3,60000000,0,106043,5523263
query_469,run_1,60000,2,123261,7369922
query_469,run_2,60000,2,150496,7369922
query_469,run_3,60000,2,123005,7369922
query_469,run_1,60000000,0,122336,7369922
query_469,run_2,60000000,0,119072,7369922
query_469,run_3,60000000,0,123066,7369922
query_514,run_1,60000,1,119798,1904750
query_514,run_2,60000,1,118768,1904750
query_514,run_3,60000,2,121892,1904750
query_514,run_1,60000000,0,119538,1904750
query_514,run_2,60000000,0,118723,1904750
query_514,run_3,60000000,0,118583,1904750
query_447,run_1,60000,0,59269,1363111
query_447,run_2,60000,0,59589,1363111
query_447,run_3,60000,1,61551,1363111
query_447,run_1,60000000,0,60558,1363111
query_447,run_2,60000000,0,60070,1363111
query_447,run_3,60000000,0,59684,1363111
query_379,run_1,60000,0,25988,349899
query_379,run_2,60000,0,26993,349899
query_379,run_3,60000,0,26139,349899
query_379,run_1,60000000,0,26142,349899
query_379,run_2,60000000,0,26476,349899
query_379,run_3,60000000,0,26359,349899
query_425,run_1,60000,1,72035,1041231
query_425,run_2,60000,1,72210,1041231
query_425,run_3,60000,1,73169,1041231
query_425,run_1,60000000,0,71196,1041231
query_425,run_2,60000000,0,70949,1041231
query_425,run_3,60000000,0,69583,1041231
query_355,run_1,60000,1,102040,546090
query_355,run_2,60000,1,102259,546090
query_355,run_3,60000,1,102388,546090
query_355,run_1,60000000,0,100780,546090
query_355,run_2,60000000,0,100429,546090
query_355,run_3,60000000,0,100578,546090
