query_name,timeout,run_id,cpus,nb_results,nb_quantum,next_size(kb),execution_time(sec)
query_110,60000000,run_3,1-cpus,1651610,2,1.1455078125 kb,106.86653566360474 sec
query_45,60000,run_1,1-cpus,1558459,4,10.6826171875 kb,219.0452857017517 sec
query_45,60000000,run_1,1-cpus,1558459,4,8.7685546875 kb,221.68944835662842 sec
query_45,60000,run_2,1-cpus,1558459,4,9.5302734375 kb,221.518048286438 sec
query_45,60000000,run_2,1-cpus,1558459,4,10.8154296875 kb,217.46377658843994 sec
query_45,60000,run_3,1-cpus,1558459,4,9.6904296875 kb,218.56604957580566 sec
query_45,60000000,run_3,1-cpus,1558459,4,9.5849609375 kb,219.91646456718445 sec
query_52,60000,run_1,1-cpus,8907767,5,3.03125 kb,293.00727796554565 sec
query_52,60000000,run_1,1-cpus,8907767,5,3.15234375 kb,294.4340751171112 sec
query_52,60000,run_2,1-cpus,8907767,5,2.97265625 kb,287.6511218547821 sec
query_52,60000000,run_2,1-cpus,8907767,5,2.76171875 kb,288.65435552597046 sec
query_52,60000,run_3,1-cpus,8907767,5,3.3984375 kb,290.7123281955719 sec
query_52,60000000,run_3,1-cpus,8907767,5,2.93359375 kb,296.0220522880554 sec
query_330,60000,run_1,1-cpus,4823031,3,1.212890625 kb,141.76196575164795 sec
query_330,60000000,run_1,1-cpus,4823031,3,1.208984375 kb,139.85061311721802 sec
query_330,60000,run_2,1-cpus,4823031,3,1.208984375 kb,143.23275756835938 sec
query_330,60000000,run_2,1-cpus,4823031,3,1.212890625 kb,142.93028807640076 sec
query_330,60000,run_3,1-cpus,4823031,3,1.212890625 kb,140.07471585273743 sec
query_330,60000000,run_3,1-cpus,4823031,3,1.208984375 kb,140.64183807373047 sec
query_360,60000,run_1,1-cpus,2478226,6,15.3369140625 kb,327.4421682357788 sec
query_360,60000000,run_1,1-cpus,2478226,6,15.1962890625 kb,329.1526370048523 sec
query_360,60000,run_2,1-cpus,2478226,6,15.0048828125 kb,330.3382706642151 sec
query_360,60000000,run_2,1-cpus,2478226,6,14.6767578125 kb,327.1244821548462 sec
query_360,60000,run_3,1-cpus,2478226,6,14.2119140625 kb,327.86054515838623 sec
query_360,60000000,run_3,1-cpus,2478226,6,14.7353515625 kb,325.19733572006226 sec
query_59,60000,run_1,1-cpus,17475937,4,7.1630859375 kb,217.4969871044159 sec
query_59,60000000,run_1,1-cpus,17475937,3,4.646484375 kb,201.50150060653687 sec
query_59,60000,run_2,1-cpus,17475937,4,7.2255859375 kb,213.4535448551178 sec
query_59,60000000,run_2,1-cpus,17475937,3,4.748046875 kb,202.4741096496582 sec
query_59,60000,run_3,1-cpus,17475937,3,4.748046875 kb,201.34881162643433 sec
query_59,60000000,run_3,1-cpus,17475937,3,4.310546875 kb,202.10990166664124 sec
query_418,60000,run_1,1-cpus,9181492,5,2.375 kb,270.1303622722626 sec
query_418,60000000,run_1,1-cpus,9181492,5,2.37109375 kb,276.40612173080444 sec
query_418,60000,run_2,1-cpus,9181492,5,2.37890625 kb,266.91020679473877 sec
query_418,60000000,run_2,1-cpus,9181492,5,2.37890625 kb,271.02202320098877 sec
query_418,60000,run_3,1-cpus,9181492,5,2.375 kb,266.61766743659973 sec
query_418,60000000,run_3,1-cpus,9181492,5,2.37109375 kb,263.1893744468689 sec
query_281,60000,run_1,1-cpus,1883300,2,2.6884765625 kb,95.98533320426941 sec
query_281,60000000,run_1,1-cpus,1883300,2,2.1845703125 kb,97.12231063842773 sec
query_281,60000,run_2,1-cpus,1883300,2,2.4658203125 kb,97.14398431777954 sec
