query_name,run,timeout,nb_pause_resume,execution_time,nb_results
query_59,run_1,60000,1,88844,17475937
query_59,run_2,60000,1,88862,17475937
query_59,run_3,60000,1,88635,17475937
query_59,run_1,60000000,0,92762,17475937
query_59,run_2,60000000,0,88104,17475937
query_59,run_3,60000000,0,95235,17475937
query_418,run_1,60000,1,115064,9181492
query_418,run_2,60000,1,118800,9181492
query_418,run_3,60000,1,118746,9181492
query_418,run_1,60000000,0,117049,9181492
query_418,run_2,60000000,0,113404,9181492
query_418,run_3,60000000,0,113627,9181492
query_281,run_1,60000,0,33873,1883300
query_281,run_2,60000,0,32572,1883300
query_281,run_3,60000,0,35374,1883300
query_281,run_1,60000000,0,31683,1883300
query_281,run_2,60000000,0,32799,1883300
query_281,run_3,60000000,0,32706,1883300
query_431,run_1,60000,2,121472,9181487
query_431,run_2,60000,2,120358,9181487
query_431,run_3,60000,1,110707,9181487
query_431,run_1,60000000,0,113146,9181487
query_431,run_2,60000000,0,113141,9181487
query_431,run_3,60000000,0,120609,9181487
query_44,run_1,60000,0,22406,1085344
query_44,run_2,60000,0,19998,1085344
query_44,run_3,60000,0,23012,1085344
query_44,run_1,60000000,0,24201,1085344
query_44,run_2,60000000,0,21131,1085344
query_44,run_3,60000000,0,23264,1085344
query_273,run_1,60000,0,42676,2642702
query_273,run_2,60000,0,41690,2642702
query_273,run_3,60000,0,43497,2642702
query_273,run_1,60000000,0,41898,2642702
query_273,run_2,60000000,0,41415,2642702
query_273,run_3,60000000,0,41646,2642702
query_370,run_1,60000,1,117841,9221118
query_370,run_2,60000,2,120065,9221118
query_370,run_3,60000,2,122403,9221118
query_370,run_1,60000000,0,115237,9221118
query_370,run_2,60000000,0,115427,9221118
query_370,run_3,60000000,0,121311,9221118
query_230,run_1,60000,2,131643,7126193
query_230,run_2,60000,1,107166,7126193
query_230,run_3,60000,1,108856,7126193
query_230,run_1,60000000,0,107924,7126193
query_230,run_2,60000000,0,108007,7126193
query_230,run_3,60000000,0,108397,7126193
query_180,run_1,60000,1,94152,13090
query_180,run_2,60000,1,93637,13090
query_180,run_3,60000,1,90206,13090
query_180,run_1,60000000,0,88380,13090
query_180,run_2,60000000,0,91311,13090
query_180,run_3,60000000,0,90737,13090
query_267,run_1,60000,0,20103,1382845
query_267,run_2,60000,0,21376,1382845
query_267,run_3,60000,0,19536,1382845
query_267,run_1,60000000,0,22525,1382845
query_267,run_2,60000000,0,20006,1382845
query_267,run_3,60000000,0,20543,1382845
query_115,run_1,60000,0,38512,7445204
query_115,run_2,60000,0,37698,7445204
query_115,run_3,60000,0,37737,7445204
query_115,run_1,60000000,0,37968,7445204
query_115,run_2,60000000,0,37810,7445204
query_115,run_3,60000000,0,37791,7445204
query_383,run_1,60000,2,120448,9181724
query_383,run_2,60000,1,116236,9181724
query_383,run_3,60000,1,118210,9181724
query_383,run_1,60000000,0,119161,9181724
query_383,run_2,60000000,0,117178,9181724
query_383,run_3,60000000,0,120806,9181724
query_196,run_1,60000,1,102952,3873028
query_196,run_2,60000,1,99112,3873028
query_196,run_3,60000,1,98437,3873028
query_196,run_1,60000000,0,103377,3873028
query_196,run_2,60000000,0,97279,3873028
query_196,run_3,60000000,0,98526,3873028
query_390,run_1,60000,1,113274,9181553
query_390,run_2,60000,2,123093,9181553
query_390,run_3,60000,1,116821,9181553
query_390,run_1,60000000,0,110613,9181553
query_390,run_2,60000000,0,118096,9181553
query_390,run_3,60000000,0,119523,9181553
query_197,run_1,60000,2,125235,3872752
query_197,run_2,60000,1,119419,3872752
query_197,run_3,60000,1,119949,3872752
query_197,run_1,60000000,0,119837,3872752
query_197,run_2,60000000,0,125312,3872752
query_197,run_3,60000000,0,117559,3872752
query_441,run_1,60000,0,42892,1636619
query_441,run_2,60000,0,39070,1636619
query_441,run_3,60000,0,41248,1636619
query_441,run_1,60000000,0,40369,1636619
query_441,run_2,60000000,0,38447,1636619
query_441,run_3,60000000,0,41555,1636619
